data_id,Text,Platform_id,Sentiment_id,Categories_id,Country_id,Retweets,Likes,Year,Month,Day,Hour
1, Enjoying a beautiful day at the park!              ,1,0,1,1,15,30,2023,1,15,12
2, Traffic was terrible this morning.                 ,1,1,2,2,5,10,2023,1,15,8
3, Just finished an amazing workout!              ,2,0,3,1,20,40,2023,1,15,15
4, Excited about the upcoming weekend getaway!        ,3,0,2,3,8,15,2023,1,15,18
5, Trying out a new recipe for dinner tonight.        ,2,2,5,4,12,25,2023,1,15,19
6, Feeling grateful for the little things in life.    ,1,0,2,5,25,50,2023,1,16,9
7, Rainy days call for cozy blankets and hot cocoa.   ,3,0,1,2,10,20,2023,1,16,14
8, The new movie release is a must-watch!             ,2,0,7,1,15,30,2023,1,16,19
9, Political discussions heating up on the timeline.  ,1,1,5,1,30,60,2023,1,17,8
10, Missing summer vibes and beach days.               ,3,2,1,4,18,35,2023,1,17,12
11, Just published a new blog post. Check it out!      ,2,0,5,1,22,45,2023,1,17,15
12, Feeling a bit under the weather today.             ,1,1,3,2,7,15,2023,1,18,10
13, Exploring the city's hidden gems.                  ,3,0,1,3,12,25,2023,1,18,14
14," New year, new fitness goals! ",2,0,3,1,28,55,2023,1,18,18
15, this is changing the way we live.            ,1,2,6,5,15,30,2023,1,19,9
16, Reflecting on the past and looking ahead.          ,3,0,7,1,20,40,2023,1,19,13
17, Just adopted a cute furry friend!       ,2,0,5,2,15,30,2023,1,19,17
18, Late-night gaming session with friends.            ,1,0,2,3,18,35,2023,1,20,0
19, Attending a virtual conference on AI.              ,3,2,6,1,25,50,2023,1,20,11
20, Winter blues got me feeling low.                   ,2,1,1,1,8,15,2023,1,20,15
21, Sipping coffee and enjoying a good book.           ,1,0,4,5,22,45,2023,1,21,8
22, Exploring the world of virtual reality.            ,3,0,6,1,15,30,2023,1,21,13
23, Productive day ticking off my to-do list.          ,2,0,3,1,30,60,2023,1,21,16
24, Just finished a challenging workout routine.       ,1,0,3,3,20,40,2023,1,22,9
25, Celebrating a milestone at work! ,3,0,3,2,12,25,2023,1,22,14
26, Sunday brunch with friends.                        ,2,0,5,3,15,30,2023,1,22,12
27, Learning a new language for personal growth.       ,3,0,4,5,25,50,2023,1,23,16
28, Quiet evening with a good book.                    ,2,0,7,4,15,30,2023,1,23,19
29, Reflecting on the importance of mental health.     ,1,0,3,1,22,45,2023,1,24,11
30, New painting in progress                ,3,0,4,2,12,25,2023,1,24,15
31, Weekend road trip to explore scenic views.         ,2,0,1,3,18,35,2023,1,24,17
32, Enjoying a cup of tea and watching the sunset.     ,1,0,5,5,15,30,2023,1,25,18
33, Coding a new project with enthusiasm.              ,3,0,6,1,30,60,2023,1,25,13
34, Feeling inspired after attending a workshop.       ,2,0,2,1,25,50,2023,1,26,9
35, Winter sports day at the local park.               ,1,0,4,2,15,30,2023,1,26,14
36, Quality time with family this weekend.             ,3,0,2,3,22,45,2023,1,26,17
37, Attending a live music concert tonight.            ,2,0,2,1,18,35,2023,1,27,20
38, Practicing mindfulness with meditation.            ,1,0,4,5,15,30,2023,1,27,12
39, Trying out a new dessert recipe.                   ,3,0,5,2,12,25,2023,1,27,16
40, Excited about the upcoming gaming tournament.      ,2,0,7,1,30,60,2023,1,28,9
41, Planning a garden makeover for spring.             ,1,0,1,1,25,50,2023,1,28,14
42, Celebrating a friend's birthday tonight!  ,3,0,2,3,15,30,2023,1,28,19
43, Feeling accomplished after a productive day.       ,2,0,4,5,22,45,2023,1,29,17
44, A cozy evening with a good movie.                 ,1,0,7,2,18,35,2023,1,29,20
45, Exploring local art galleries this weekend.        ,3,0,5,1,15,30,2023,1,30,11
46, New book release from my favorite author!          ,2,0,5,3,12,25,2023,1,30,15
47, Attending a virtual reality meetup.                ,1,0,6,5,28,55,2023,1,30,18
48, Reflecting on the beauty of nature.                ,3,0,1,4,15,30,2023,1,31,10
49, Cooking a special dinner for loved ones.           ,2,0,5,1,20,40,2023,1,31,19
50, Feeling optimistic about the week ahead.           ,1,0,4,2,15,30,2023,1,31,16
51, Starting a new fitness challenge tomorrow! ,3,0,3,3,22,45,2023,2,1,8
52, Sunday bike ride through scenic trails.           ,2,0,1,1,18,35,2023,2,1,13
53, Can't believe the injustice happening in our society.,1,1,2,2,20,40,2023,2,11,9
54, Feeling a sense of fear after watching a thriller movie. ,2,1,5,1,15,30,2023,2,11,21
55, Heartbroken after hearing the news about a natural disaster. ,3,1,7,5,25,50,2023,2,12,14
